abrasives	Abrasives remove material from a workpiece.
temporary-power-distribution-cords-accessories	These accessories help provide temporary power where needed, such as large events or construction.
industrial-controls-automation-and-machine-safety	Industrial controls, automation, and machine safety products monitor and regulate machinery and automated processes.
control-stations-control-pendants-tumbler-switches	Control stations, control pendants, and tumbler switches turn circuits on and off to industrial machinery, equipment, and systems to power them or switch between functionalities.
operator-switches-pilot-lights	Operator switches and pilot lights connect with industrial equipment, machinery, and systems to control or indicate their status.
limit-switches	Limit switches react to physical contact to detect whether objects are present, absent, or at their preset destination.
snap-action-switches	Snap-action switches are small electromagnetic devices that react to physical contact to quickly open or close circuits in low-voltage systems and devices that need fast and reliable responses.
liquid-level-control-switches	Liquid-level control sensors and switches monitor fluid levels inside tanks, containers, and vessels and turn circuits on and off when levels reach a preset threshold.
pressure-vacuum-switches	Pressure, vacuum, and vibration switches monitor conditions in industrial systems and equipment to prevent damage and downtime.
proximity-motion-vision-sensors	Proximity, motion, and vision sensors observe the presence of a target object or read a series of shapes.
machine-safety	Machine safety sensors and interlock switches shut off power to industrial machinery and systems to help prevent accidents and damage.
industrial-automation	Industrial automation devices control equipment used to help facilities save energy and reduce costs.
relays	Relays are electrically-operated switches that regulate power to downstream circuits when energized to control low-current equipment, devices, machinery, and electrical systems.
robotics	Robotics equipment includes standalone devices and other units that integrate into existing systems to automate repetitive jobs such as sorting, assembling, and picking and placing items on conveyors.
tower-lights	Tower lights are vertically stacked light arrays that communicate the status of a piece of equipment or system.
motor-controls	Motor controls start, stop, regulate the speed, and change the rotation of electric motors.
contactors-overload-relays	Contactors and overload relays combine to create motor starter assemblies.
motor-starters-combination-starters	Motor starters and combination starters provide control of motors and help protect them against damage.
motor-monitoring-management-systems	Motor monitoring and management systems provide comprehensive control of electrical motors for real-time performance monitoring and diagnostics, detecting abnormal loads and other conditions that might lead to motor system damage and…
drum-motor-switches	Drum and motor starter switches are manually operated controls that stop, start, or reverse the direction of motors.
motor-emc-suppressors	Motor EMC suppressors install near the source of interference to help eliminate short circuits caused by voltage peaks and surges during motor shutdowns.
contactor-motor-starter-replacement-parts-accessories	Contactor and motor starter replacement parts and accessories maintain, modify, or build contactors and motor starter assemblies.
transformers-ups-power-supplies	Transformers, UPS, and power supplies keep sensitive electronic equipment safe by adapting power to suit their needs or keeping equipment online during outages.
transformers-phase-converters	Transformers and phase converters adapt power supplies, protecting equipment from damage.
ups-ups-batteries	Uninterruptible Power Supply and UPS batteries provide backup power to sensitive electronic equipment like computers and servers to protect against damage or data loss during an outage.
power-supplies	Power supplies adapt alternating AC power to cleaner DC power and step the voltage down to protect electrical equipment.
power-conditioners	Power conditioners stabilize incoming AC power to protect sensitive electrical equipment like computers, TVs, and sound systems.
micro-data-center-systems	Micro data center systems provide in-house data storage and protection for IT assets.
electronics-batteries	Electronics and batteries facilitate communication in offices, industrial facilities, and other work areas.
batteries-battery-chargers	Batteries and battery chargers provide power and portability to electrical devices and equipment.
battery-storage-organizers	Battery storage cases and organizers hold spare batteries to prevent them from getting lost within a toolbox or office drawer and to shield their terminals from contact with materials that can cause short circuits or leaks.
disposable-batteries	Disposable batteries are single-use power sources that are replaced after they run out of charge.
sump-pump-batteries-battery-acid	Sump pump batteries supply power to operate a backup sump pump when the primary sump pump fails.
portable-device-chargers	Portable device chargers provide a charging station or external battery for recharging mobile devices when users are away from their factory-supplied chargers.
rechargeable-batteries-chargers	Rechargeable batteries and chargers provide a reusable alternative to disposable batteries.
sealed-lead-acid-lithium-batteries-chargers	Sealed lead acid and lithium batteries and chargers power large devices and supply backup or reserve power for industrial systems.
electronic-communication-equipment	Electronic communication equipment includes devices and accessories for connecting audio-video equipment to network services and playing visual content on external devices like monitors and televisions, or audio on speakers.
video-equipment	Video equipment includes televisions, monitors, cameras, camcorders, and DVD players that record and play visual content with compatible systems.
audio-equipment	Audio equipment transmits, receives, and reproduces audio signals to communicate between locations over a distance.
audio-video-accessories	Audio-video accessories connect cables to devices and provide space to store equipment.
